supplier_id,supplier_name,name,country_code,country,city,industry,established_year,employee_count,annual_revenue_usd,annual_capacity_units,commodity_codes,certifications,financial_stability_score,quality_score,delivery_score,cost_score,sustainability_score,innovation_score,response_time_hours,minimum_order_quantity,lead_time_days,payment_terms,contract_type,preferred_currency,risk_level,risk_score,risk_tier,tier,status,preferred_supplier,onboarding_date,last_audit_date,on_time_delivery,performance_trend,recent_risk_spike
SUP-0070,United States Advanced Materials 070,United States Advanced Materials 070,US,United States,Austin,Metals,2009,1035,626753490.56,355788,"[""COP"", ""STL"", ""CEM"", ""PAP""]","[""ResponsibleSteel""]",76.48,86.29,75.61,79.32,75.91,82.22,7.1,1616,63,Net 30,spot,USD,Low,18.55,Low,Tier 2,blacklisted,false,2017-10-01,2024-01-10,75.61,stable,false
SUP-0071,United States Precision Components 071,United States Precision Components 071,US,United States,Austin,Packaging,2000,1421,669902172.51,862795,"[""PAP"", ""LIT"", ""CTN"", ""RBR""]","[""ISO 9001""]",91.31,86.13,84.88,79.27,71.04,85.4,36.2,3585,9,Net 60,multi-year,USD,Low,15.4,Low,Tier 2,active,false,2017-11-01,2024-03-07,84.88,stable,false
SUP-0072,United States Industrial Works 072,United States Industrial Works 072,US,United States,Austin,Construction,1997,1194,957306301.36,314885,"[""GLS"", ""CTN"", ""PAP"", ""CEM""]","[""ISO 9001"", ""IATF 16949"", ""ResponsibleSteel"", ""SA8000""]",74.44,88.59,90.43,77.13,65.66,86.99,6.4,944,37,Net 60,multi-year,USD,Low,14.99,Low,Tier 2,active,false,2017-05-01,2024-07-04,90.43,stable,false
SUP-0073,United States Global Industries 073,United States Global Industries 073,US,United States,San Jose,Textiles,1998,520,883060282.49,212394,"[""CTN"", ""PAP"", ""COP"", ""CEM""]","[""IATF 16949"", ""ISO 14001"", ""LEED"", ""ISO 45001""]",82.65,85.48,84.74,87.98,77.52,90.61,3.8,2707,24,Net 90,framework,USD,Low,21.24,Low,Tier 2,active,false,2017-11-01,2024-01-20,84.74,stable,false
SUP-0074,United States Integrated Supply 074,United States Integrated Supply 074,US,United States,Houston,Metals,1999,2316,324906818.05,782016,"[""COP"", ""RBR"", ""TIM""]","[""ISO 14001"", ""ISO 45001""]",89.22,85.38,94.3,79.25,71.72,84.74,23.7,4785,30,Net 90,multi-year,USD,Low,26.76,Low,Tier 2,inactive,false,2017-05-01,2024-10-09,94.3,stable,false
SUP-0075,United States Advanced Materials 075,United States Advanced Materials 075,US,United States,Detroit,Electronics,1978,12399,1319766238.24,1131382,"[""SLC"", ""CEM"", ""STL""]","[""ISO 9001"", ""SA8000""]",81.33,97.76,94.9,66.8,84.81,95.05,16.8,4558,39,Net 45,spot,USD,Low,23.58,Low,Tier 1,active,false,2017-01-01,2024-10-20,94.9,stable,false
SUP-0076,United States Precision Components 076,United States Precision Components 076,US,United States,Detroit,Textiles,1982,114,532092466.6,10818,"[""CTN"", ""NIC"", ""LIT"", ""TIM""]","[""ISO 14001"", ""ISO 45001"", ""IATF 16949"", ""LEED""]",97.04,95.96,91.34,81.68,89.23,89.15,3.6,4373,25,Net 30,framework,USD,Low,18.53,Low,Tier 3,active,false,2017-05-01,2024-07-01,91.34,stable,false
SUP-0077,United States Industrial Works 077,United States Industrial Works 077,US,United States,San Jose,Metals,1977,19660,96752852.14,635511,"[""COP"", ""TIM"", ""NIC""]","[""ISO 45001"", ""IATF 16949""]",89.73,97.34,85.38,71.03,65.28,73.39,34.4,3698,31,Net 30,multi-year,USD,Low,23.68,Low,Tier 1,active,false,2017-11-01,2024-10-15,85.38,stable,false
SUP-0078,United States Global Industries 078,United States Global Industries 078,US,United States,Houston,Construction,1978,81,304860261.01,188832,"[""GLS"", ""CEM"", ""PLA""]","[""IATF 16949"", ""ResponsibleSteel"", ""ISO 9001"", ""ISO 45001""]",86.5,86.82,72.16,91.08,67.83,74.42,37.9,3738,40,Net 60,multi-year,USD,Low,20.99,Low,Tier 3,active,false,2017-04-01,2024-02-17,72.16,stable,false
SUP-0079,United States Integrated Supply 079,United States Integrated Supply 079,US,United States,Austin,Electronics,1979,67,437435450.89,512838,"[""SEM"", ""ALM"", ""REE"", ""COP""]","[""ISO 9001""]",94.07,83.38,76.59,85.39,67.13,80.24,61.4,1736,21,Net 45,multi-year,USD,Low,24.22,Low,Tier 3,active,false,2017-01-01,2024-12-06,76.59,stable,false
SUP-0080,United States Advanced Materials 080,United States Advanced Materials 080,US,United States,Austin,Textiles,2010,2046,727711645.67,846613,"[""CTN"", ""SLC"", ""PAP""]","[""ResponsibleSteel""]",82.59,86.13,97.54,78.62,91.05,79.07,42.3,4808,49,Net 30,spot,USD,Low,19.95,Low,Tier 2,active,false,2017-06-01,2024-12-14,97.54,stable,false
SUP-0081,United States Precision Components 081,United States Precision Components 081,US,United States,Houston,Metals,1993,55,579278499.72,181616,"[""COP"", ""RBR""]","[""ISO 9001"", ""ResponsibleSteel"", ""ISO 14001"", ""LEED""]",81.19,90.91,87.53,65.11,71.02,77.54,40.6,4743,54,Net 45,spot,USD,Low,25.35,Low,Tier 3,active,false,2017-08-01,2024-09-20,87.53,stable,false
SUP-0082,United States Industrial Works 082,United States Industrial Works 082,US,United States,Austin,Construction,2008,18603,663391629.36,550989,"[""CEM"", ""LIT""]","[""ResponsibleSteel""]",94.03,100,97.62,68.06,65.33,66.62,9.0,244,47,Net 30,framework,USD,Low,19.79,Low,Tier 1,active,false,2017-05-01,2024-08-10,97.62,stable,false
SUP-0083,United States Global Industries 083,United States Global Industries 083,US,United States,Detroit,Construction,1982,183,259820304.61,71113,"[""GLS"", ""RBR""]","[""ResponsibleSteel"", ""IATF 16949"", ""LEED""]",84.03,89.62,84.12,84.04,69.92,88.36,44.3,2924,18,Net 90,spot,USD,Low,13.68,Low,Tier 3,active,false,2017-09-01,2024-02-03,84.12,stable,false
SUP-0084,United States Integrated Supply 084,United States Integrated Supply 084,US,United States,Austin,Electronics,1997,43,313165792.8,276878,"[""SLC"", ""CEM"", ""GLS"", ""REE"", ""NIC""]","[""ISO 14001""]",73.58,93.93,76.61,73.7,59.66,86.22,49.3,2843,28,Net 30,multi-year,USD,Low,16.76,Low,Tier 3,active,false,2017-03-01,2024-04-07,76.61,stable,false
SUP-0085,United States Advanced Materials 085,United States Advanced Materials 085,US,United States,Chicago,Battery,1993,18827,451703116.78,857098,"[""LIT"", ""ALM"", ""CEM""]","[""IATF 16949""]",92.13,84.1,82.22,81.38,74.01,79.21,30.8,388,20,Net 60,framework,USD,Low,19.28,Low,Tier 1,active,false,2017-04-01,2024-06-19,82.22,stable,false
SUP-0086,United States Precision Components 086,United States Precision Components 086,US,United States,Austin,Electronics,2006,3759,1088640666.24,964150,"[""SLC"", ""STL"", ""RBR"", ""TIM"", ""PLA""]","[""ISO 45001"", ""ISO 14001""]",93.85,87.34,91.32,79.27,51.86,95.66,46.4,4706,60,Net 30,framework,USD,Low,16.7,Low,Tier 1,active,false,2017-08-01,2024-02-01,91.32,stable,false
SUP-0087,United States Industrial Works 087,United States Industrial Works 087,US,United States,Austin,Battery,2000,2739,840688167.79,110722,"[""NIC"", ""CTN"", ""TIM""]","[""IATF 16949"", ""SA8000"", ""ISO 14001""]",94.36,93.5,91.81,69.4,76.38,54.08,33.7,536,62,Net 30,framework,USD,Low,18.87,Low,Tier 1,active,false,2017-06-01,2024-04-06,91.81,stable,false
SUP-0088,United States Global Industries 088,United States Global Industries 088,US,United States,Chicago,Polymers,1987,1645,842181359.26,663831,"[""PLA"", ""CTN"", ""NIC""]","[""ISO 14001""]",87.54,91.16,85.46,83.24,74.69,96.0,16.2,3290,58,Net 30,framework,USD,Low,22.27,Low,Tier 2,active,false,2017-11-01,2024-07-20,85.46,stable,false
SUP-0089,United States Integrated Supply 089,United States Integrated Supply 089,US,United States,Houston,Construction,1990,16974,479114750.84,1207442,"[""TIM"", ""LIT"", ""COP""]","[""ISO 14001"", ""LEED"", ""ResponsibleSteel""]",92.79,100,85.94,60.8,75.85,87.76,21.4,243,19,Net 90,spot,USD,Low,19.56,Low,Tier 1,active,false,2017-11-01,2024-03-10,85.94,stable,false
SUP-0090,United States Advanced Materials 090,United States Advanced Materials 090,US,United States,Detroit,Polymers,1979,1541,290637413.54,640102,"[""RBR"", ""ALM"", ""CEM""]","[""ISO 9001"", ""ResponsibleSteel"", ""ISO 14001""]",79.24,85.86,75.33,63.15,78.65,73.78,7.6,4711,20,Net 30,multi-year,USD,Low,20.75,Low,Tier 2,active,false,2017-04-01,2024-04-07,75.33,stable,false
SUP-0091,Germany Precision Components 091,Germany Precision Components 091,DE,Germany,Stuttgart,Construction,1979,1321,515968833.02,695887,"[""GLS"", ""SLC"", ""PAP"", ""CTN""]","[""IATF 16949"", ""ISO 14001""]",80.9,82.74,83.9,80.71,69.31,75.69,33.2,2373,20,Net 90,framework,EUR,Low,22.59,Low,Tier 2,active,false,2017-05-01,2024-06-07,83.9,stable,false
SUP-0092,Germany Industrial Works 092,Germany Industrial Works 092,DE,Germany,Stuttgart,Metals,1983,48,201428869.71,398610,"[""STL"", ""RBR""]","[""ISO 45001""]",96.91,83.07,76.36,82.32,77.19,72.69,59.5,3959,15,Net 30,spot,EUR,Low,25.83,Low,Tier 3,active,false,2017-09-01,2024-05-21,76.36,stable,false
SUP-0093,Germany Global Industries 093,Germany Global Industries 093,DE,Germany,Hamburg,Metals,1982,151,592383188.36,454795,"[""ALM"", ""TIM""]","[""IATF 16949"", ""ISO 14001"", ""ISO 45001""]",69.64,93.43,79.52,79.24,73.33,93.97,61.1,3093,51,Net 45,framework,EUR,Low,29.67,Low,Tier 3,active,false,2017-01-01,2024-11-04,79.52,stable,false
SUP-0094,Germany Integrated Supply 094,Germany Integrated Supply 094,DE,Germany,Hamburg,Battery,1988,1125,935313382.16,448096,"[""NIC"", ""LIT"", ""CEM"", ""PAP"", ""ALM""]","[""ISO 9001""]",90.17,80.31,88.38,77.64,85.94,83.31,14.2,2325,11,Net 30,multi-year,EUR,Low,15.72,Low,Tier 2,active,false,2017-04-01,2024-06-23,88.38,stable,false
SUP-0095,Germany Advanced Materials 095,Germany Advanced Materials 095,DE,Germany,Hamburg,Construction,1986,2213,307326373.13,838440,"[""TIM"", ""RBR"", ""SLC"", ""GLS""]","[""ISO 14001""]",82.02,87.77,81.29,77.39,91.77,81.69,8.1,1399,29,Net 45,framework,EUR,Low,15.54,Low,Tier 2,active,false,2017-10-01,2024-03-12,81.29,stable,false
SUP-0096,Germany Precision Components 096,Germany Precision Components 096,DE,Germany,Frankfurt,Metals,1993,1193,100773780.43,849810,"[""ALM"", ""COP"", ""GLS"", ""LIT""]","[""LEED"", ""ISO 9001"", ""SA8000"", ""ResponsibleSteel""]",82.77,85.62,86.57,78.75,82.55,85.85,13.6,2782,32,Net 60,spot,EUR,Low,21.83,Low,Tier 2,active,false,2017-12-01,2024-02-02,86.57,stable,false
SUP-0097,Germany Industrial Works 097,Germany Industrial Works 097,DE,Germany,Stuttgart,Electronics,1976,1063,278215610.53,450424,"[""SLC"", ""GLS"", ""PLA"", ""SEM""]","[""ISO 9001""]",81.11,78.66,80.86,77.57,99.61,71.04,42.6,442,19,Net 60,spot,EUR,Low,25.7,Low,Tier 2,inactive,false,2017-09-01,2024-04-23,80.86,stable,false
SUP-0098,Germany Global Industries 098,Germany Global Industries 098,DE,Germany,Hamburg,Battery,1984,1677,694391820.76,340647,"[""LIT"", ""TIM"", ""CEM"", ""RBR"", ""NIC""]","[""ISO 9001"", ""ResponsibleSteel"", ""ISO 14001"", ""SA8000""]",99.58,84.37,82.5,76.34,64.8,91.44,36.4,1594,63,Net 30,spot,EUR,Low,22.06,Low,Tier 2,active,false,2017-12-01,2024-02-04,82.5,stable,false
SUP-0099,Germany Integrated Supply 099,Germany Integrated Supply 099,DE,Germany,Frankfurt,Packaging,1975,2195,336788230.33,49348,"[""PAP"", ""COP"", ""PLA""]","[""ISO 45001""]",89.16,78.91,89.91,72.8,89.03,81.44,16.0,4456,62,Net 45,spot,EUR,Low,22.27,Low,Tier 2,active,false,2017-10-01,2024-12-24,89.91,stable,false
SUP-0100,Germany Advanced Materials 100,Germany Advanced Materials 100,DE,Germany,Hamburg,Construction,1999,8168,1216638250.75,380442,"[""GLS"", ""CTN"", ""REE"", ""RBR""]","[""ResponsibleSteel"", ""ISO 9001"", ""ISO 14001""]",100,100,91.37,71.42,73.64,72.87,33.4,4728,10,Net 45,spot,EUR,Low,19.71,Low,Tier 1,active,false,2017-01-01,2024-08-14,91.37,stable,false
SUP-0101,Germany Precision Components 101,Germany Precision Components 101,DE,Germany,Stuttgart,Construction,1995,1787,675920513.66,466175,"[""TIM"", ""GLS"", ""STL"", ""SLC""]","[""ResponsibleSteel"", ""IATF 16949""]",92.01,88.32,73.77,77.74,100,99.72,27.5,3564,53,Net 30,multi-year,EUR,Low,26.72,Low,Tier 2,active,false,2017-05-01,2024-08-07,73.77,stable,false
SUP-0102,Germany Industrial Works 102,Germany Industrial Works 102,DE,Germany,Hamburg,Polymers,2008,2040,947650421.33,832874,"[""PLA"", ""COP"", ""TIM"", ""SLC"", ""GLS""]","[""ISO 14001"", ""SA8000"", ""LEED"", ""IATF 16949""]",83.71,93.99,85.26,87.81,62.96,86.97,38.8,598,17,Net 90,multi-year,EUR,Low,14.55,Low,Tier 2,active,false,2017-09-01,2024-02-23,85.26,stable,false
SUP-0103,Germany Global Industries 103,Germany Global Industries 103,DE,Germany,Stuttgart,Construction,2009,854,76990703.5,356619,"[""TIM"", ""PAP"", ""NIC"", ""RBR""]","[""ISO 45001"", ""ISO 9001"", ""LEED"", ""ISO 14001""]",100,86.06,94.06,76.15,72.16,91.68,7.4,1660,9,Net 60,framework,EUR,Low,4.79,Low,Tier 2,active,false,2017-07-01,2024-10-22,94.06,stable,false
SUP-0104,Germany Integrated Supply 104,Germany Integrated Supply 104,DE,Germany,Frankfurt,Construction,1980,2008,765747465.12,258638,"[""TIM"", ""SEM"", ""NIC""]","[""SA8000""]",76.72,85.02,77.42,62.79,80.28,94.94,43.3,1012,64,Net 45,multi-year,EUR,Low,20.13,Low,Tier 2,active,false,2017-05-01,2024-07-09,77.42,stable,false
SUP-0105,Germany Advanced Materials 105,Germany Advanced Materials 105,DE,Germany,Frankfurt,Metals,2000,1222,280490990.07,270165,"[""ALM"", ""TIM"", ""GLS""]","[""ResponsibleSteel"", ""ISO 45001""]",78.27,91.89,92.76,69.48,76.34,91.01,18.1,4860,21,Net 60,framework,EUR,Low,24.38,Low,Tier 2,active,false,2017-02-01,2024-03-25,92.76,stable,false
SUP-0106,Germany Precision Components 106,Germany Precision Components 106,DE,Germany,Munich,Electronics,1996,2440,711635421.95,402103,"[""REE"", ""ALM"", ""COP"", ""GLS""]","[""IATF 16949""]",76.89,88.22,77.24,72.46,84.48,100,25.4,407,35,Net 90,spot,EUR,Low,19.51,Low,Tier 2,active,false,2017-11-01,2024-03-22,77.24,stable,false
SUP-0107,Germany Industrial Works 107,Germany Industrial Works 107,DE,Germany,Stuttgart,Construction,1992,21231,527768378.71,615491,"[""CEM"", ""ALM"", ""REE""]","[""ISO 45001"", ""SA8000"", ""IATF 16949"", ""ResponsibleSteel""]",100,97.19,86.82,79.93,70.51,92.94,30.7,1293,47,Net 90,spot,EUR,Low,13.32,Low,Tier 1,inactive,false,2017-03-01,2024-03-17,86.82,stable,false
SUP-0108,Germany Global Industries 108,Germany Global Industries 108,DE,Germany,Stuttgart,Electronics,2005,2682,209821458.31,593831,"[""SEM"", ""REE"", ""GLS""]","[""ISO 45001"", ""ISO 9001"", ""ResponsibleSteel""]",100,97.97,83.83,79.79,86.79,67.82,32.6,1947,30,Net 60,spot,EUR,Low,16.32,Low,Tier 1,active,false,2017-10-01,2024-01-19,83.83,stable,false
SUP-0109,Japan Precision Supply 109,Japan Precision Supply 109,JP,Japan,Nagoya,Electronics,1978,22976,559867328.87,732992,"[""SLC"", ""PLA""]","[""LEED""]",100,96.18,92.1,87.81,86.59,92.07,7.9,3354,35,Net 60,multi-year,JPY,Low,10.37,Low,Tier 1,active,false,2017-12-01,2024-12-05,92.1,stable,false
SUP-0110,Japan Industrial Materials 110,Japan Industrial Materials 110,JP,Japan,Nagoya,Metals,1999,9690,223689135.26,1197662,"[""ALM"", ""SEM"", ""GLS"", ""NIC"", ""CTN""]","[""ISO 9001"", ""ResponsibleSteel"", ""ISO 14001"", ""LEED""]",92.0,100,88.4,88.16,79.01,71.07,,2846,32,Net 60,multi-year,JPY,Low,11.47,Low,Tier 1,active,false,2017-01-01,2024-09-07,88.4,stable,false
SUP-0111,Japan Global Components 111,Japan Global Components 111,JP,Japan,Yokohama,Packaging,1991,23672,896571118.84,44843,"[""PAP"", ""GLS"", ""LIT""]","[""ISO 45001""]",90.6,100,94.67,66.29,68.42,82.52,8.6,1730,13,Net 30,multi-year,JPY,Low,15.39,Low,Tier 1,active,false,2017-08-01,2024-10-03,94.67,stable,false
SUP-0112,Japan Integrated Works 112,Japan Integrated Works 112,JP,Japan,Tokyo,Metals,1987,11076,1304990260.92,639778,"[""ALM"", ""SLC"", ""GLS""]","[""IATF 16949"", ""ISO 14001"", ""ISO 45001""]",90.78,100,100,85.16,72.42,69.69,3.7,4262,29,Net 60,multi-year,JPY,Low,11.0,Low,Tier 1,active,false,2017-10-01,2024-12-05,100,stable,false
SUP-0113,Japan Advanced Industries 113,Japan Advanced Industries 113,JP,Japan,Nagoya,Electronics,1986,19448,1231846589.81,1008197,"[""SLC"", ""COP"", ""TIM"", ""GLS"", ""LIT""]","[""ResponsibleSteel"", ""ISO 45001"", ""LEED"", ""IATF 16949""]",86.1,93.99,81.95,91.91,84.9,95.21,5.3,2129,22,Net 60,spot,JPY,Low,7.95,Low,Tier 1,active,false,2017-01-01,2024-02-04,81.95,stable,false
SUP-0114,Japan Precision Supply 114,Japan Precision Supply 114,JP,Japan,Tokyo,Packaging,2004,16147,557663841.79,1006683,"[""PAP"", ""GLS"", ""NIC"", ""CEM"", ""LIT""]","[""ResponsibleSteel"", ""LEED"", ""ISO 14001""]",96.37,100,85.93,72.95,75.83,75.53,46.3,3235,30,Net 90,spot,JPY,Low,3.21,Low,Tier 1,active,false,2017-10-01,2024-06-14,85.93,stable,false
SUP-0115,Japan Industrial Materials 115,Japan Industrial Materials 115,JP,Japan,Tokyo,Polymers,2007,2331,96563899.02,202515,"[""PLA"", ""COP"", ""STL"", ""PAP""]","[""ISO 45001""]",80.06,93.06,88.03,80.58,98.87,79.63,42.4,4019,21,Net 30,multi-year,JPY,Low,18.08,Low,Tier 2,active,false,2017-06-01,2024-10-17,88.03,stable,false
SUP-0116,Japan Global Components 116,Japan Global Components 116,JP,Japan,Nagoya,Polymers,1978,695,969086988.12,860570,"[""PLA"", ""PAP"", ""REE"", ""TIM"", ""CTN""]","[""ISO 14001"", ""LEED"", ""ISO 9001"", ""IATF 16949""]",82.71,84.77,91.31,75.05,63.83,74.13,29.0,4194,41,Net 60,multi-year,JPY,Low,13.16,Low,Tier 2,active,false,2017-04-01,2024-05-18,91.31,stable,false
SUP-0117,Japan Integrated Works 117,Japan Integrated Works 117,JP,Japan,Osaka,Polymers,1991,5829,1362261036.7,303922,"[""PLA"", ""TIM"", ""GLS"", ""CTN"", ""SEM""]","[""ISO 14001"", ""SA8000"", ""ResponsibleSteel"", ""ISO 45001""]",99.35,96.51,95.33,56.5,62.12,80.63,18.7,4088,12,Net 60,spot,JPY,Low,8.52,Low,Tier 1,active,false,2017-02-01,2024-11-21,95.33,stable,false
SUP-0118,Japan Advanced Industries 118,Japan Advanced Industries 118,JP,Japan,Yokohama,Polymers,1983,387,827655937.54,42240,"[""PLA"", ""COP"", ""NIC"", ""TIM""]","[""LEED"", ""ISO 45001"", ""SA8000""]",81.59,90.66,78.9,81.04,81.32,81.38,37.4,677,8,Net 45,multi-year,JPY,Low,13.87,Low,Tier 2,active,false,2017-04-01,2024-07-08,78.9,stable,false
SUP-0119,Japan Precision Supply 119,Japan Precision Supply 119,JP,Japan,Tokyo,Metals,1995,9989,1181079403.87,1054218,"[""ALM"", ""GLS"", ""STL"", ""RBR"", ""NIC""]","[""ISO 45001""]",100,92.23,87.64,83.52,68.62,76.85,10.0,2653,17,Net 45,framework,JPY,Low,10.65,Low,Tier 1,inactive,false,2017-04-01,2024-12-21,87.64,stable,false
SUP-0120,Japan Industrial Materials 120,Japan Industrial Materials 120,JP,Japan,Osaka,Construction,1979,123,474298449.85,49974,"[""GLS"", ""CEM"", ""SLC"", ""NIC"", ""ALM""]","[""ISO 14001"", ""SA8000"", ""IATF 16949""]",71.9,90.27,88.91,79.3,73.41,70.58,31.9,3119,59,Net 45,framework,JPY,Low,15.86,Low,Tier 3,active,false,2017-07-01,2024-02-05,88.91,stable,false
SUP-0121,Japan Global Components 121,Japan Global Components 121,JP,Japan,Tokyo,Construction,1976,3433,373096240.07,39929,"[""GLS"", ""TIM"", ""PLA"", ""ALM""]","[""ISO 14001""]",96.74,93.56,97.9,73.0,62.72,84.6,14.4,3114,25,Net 30,framework,JPY,Low,9.42,Low,Tier 1,active,false,2017-04-01,2024-05-22,97.9,stable,false
SUP-0122,Japan Integrated Works 122,Japan Integrated Works 122,JP,Japan,Nagoya,Electronics,2002,1082,925356209.2,897847,"[""REE"", ""STL"", ""PLA"", ""LIT"", ""RBR""]","[""SA8000"", ""IATF 16949"", ""ISO 9001"", ""LEED""]",67.2,94.75,91.06,67.91,75.21,56.67,19.2,4993,22,Net 45,framework,JPY,Low,17.48,Low,Tier 2,active,false,2017-04-01,2024-05-13,91.06,stable,false
SUP-0123,Japan Advanced Industries 123,Japan Advanced Industries 123,JP,Japan,Tokyo,Construction,1998,18168,1052196148.11,538085,"[""GLS"", ""REE"", ""SLC"", ""NIC""]","[""ISO 14001""]",91.44,92.14,77.93,69.7,66.75,84.59,36.3,2230,46,Net 30,framework,JPY,Low,20.22,Low,Tier 1,active,false,2017-04-01,2024-02-23,77.93,stable,false
SUP-0124,Vietnam Precision Supply 124,Vietnam Precision Supply 124,VN,Vietnam,Hanoi,Battery,2006,423,665319959.14,418383,"[""NIC"", ""PAP"", ""RBR"", ""CEM""]","[""LEED"", ""ISO 9001"", ""SA8000""]",79.54,80.58,81.52,76.95,57.36,66.58,15.7,4811,63,Net 45,multi-year,VND,Medium,36.12,Medium,Tier 2,active,false,2017-01-01,2024-09-16,81.52,stable,false
SUP-0125,Vietnam Industrial Materials 125,Vietnam Industrial Materials 125,VN,Vietnam,Hai Phong,Battery,1989,416,126552893.72,453676,"[""LIT"", ""RBR""]","[""ISO 9001"", ""IATF 16949""]",78.55,83.67,83.8,83.75,87.57,73.6,47.9,4829,20,Net 45,multi-year,VND,Low,30.99,Low,Tier 2,active,false,2017-07-01,2024-07-17,83.8,stable,false
SUP-0126,Vietnam Global Components 126,Vietnam Global Components 126,VN,Vietnam,Ho Chi Minh City,Battery,1975,71,427623909.82,323235,"[""NIC"", ""PAP""]","[""ISO 9001"", ""LEED"", ""ISO 14001"", ""SA8000""]",79.01,89.67,91.63,70.63,72.51,63.57,19.9,3623,17,Net 90,spot,VND,Medium,36.46,Medium,Tier 3,active,false,2017-01-01,2024-05-13,91.63,stable,false
SUP-0127,Vietnam Integrated Works 127,Vietnam Integrated Works 127,VN,Vietnam,Da Nang,Battery,2006,1811,207824732.11,894700,"[""LIT"", ""CTN""]","[""ResponsibleSteel"", ""ISO 9001"", ""ISO 14001""]",65.11,80.31,79.23,74.55,80.7,80.74,5.4,370,24,Net 60,spot,VND,Low,25.3,Low,Tier 2,active,false,2017-12-01,2024-10-16,79.23,stable,false
SUP-0128,Vietnam Advanced Industries 128,Vietnam Advanced Industries 128,VN,Vietnam,Hanoi,Polymers,1979,7375,690168634.44,558828,"[""RBR"", ""SLC"", ""TIM"", ""SEM""]","[""ISO 14001"", ""LEED""]",90.41,89.97,82.03,81.47,71.72,69.28,13.5,4802,35,Net 90,spot,VND,Low,28.9,Low,Tier 1,active,false,2017-08-01,2024-08-23,82.03,stable,false
SUP-0129,Vietnam Precision Supply 129,Vietnam Precision Supply 129,VN,Vietnam,Hai Phong,Textiles,1987,1553,133864988.57,587875,"[""CTN"", ""COP"", ""NIC"", ""REE""]","[""LEED"", ""ISO 9001"", ""ResponsibleSteel"", ""SA8000""]",80.26,83.07,85.04,83.01,58.98,68.4,29.1,2496,46,Net 60,framework,VND,Medium,37.44,Medium,Tier 2,active,false,2017-09-01,2024-11-14,85.04,stable,false
SUP-0130,Vietnam Industrial Materials 130,Vietnam Industrial Materials 130,VN,Vietnam,Hai Phong,Battery,1997,7742,1062426636.1,859997,"[""LIT"", ""SEM"", ""COP"", ""REE""]","[""IATF 16949"", ""SA8000"", ""LEED""]",100,88.74,98.11,76.63,94.02,52.84,37.9,872,62,Net 90,multi-year,VND,Low,34.87,Low,Tier 1,active,false,2017-10-01,2024-12-07,98.11,stable,false
SUP-0131,Vietnam Global Components 131,Vietnam Global Components 131,VN,Vietnam,Hai Phong,Polymers,1988,1860,552181356.04,542938,"[""PLA"", ""CEM"", ""REE""]","[""LEED"", ""SA8000"", ""IATF 16949"", ""ISO 14001""]",95.65,92.73,87.49,75.86,80.56,67.97,39.0,847,42,Net 45,framework,VND,Low,20.54,Low,Tier 2,inactive,false,2017-12-01,2024-03-15,87.49,stable,false
SUP-0132,Vietnam Integrated Works 132,Vietnam Integrated Works 132,VN,Vietnam,Ho Chi Minh City,Battery,1988,351,459319505.84,544935,"[""LIT"", ""RBR""]","[""ISO 45001"", ""ISO 14001"", ""LEED""]",75.09,89.07,92.24,79.63,74.29,68.31,37.1,1337,11,Net 90,framework,VND,Medium,43.02,Medium,Tier 2,active,false,2017-12-01,2024-11-16,92.24,stable,false
SUP-0133,Vietnam Advanced Industries 133,Vietnam Advanced Industries 133,VN,Vietnam,Hanoi,Electronics,1976,22121,370871647.83,820086,"[""REE"", ""COP"", ""RBR"", ""CTN"", ""STL""]","[""IATF 16949""]",80.14,83.76,97.39,84.22,73.96,86.97,36.4,3991,51,Net 90,spot,VND,Low,23.39,Low,Tier 1,active,false,2017-08-01,2024-11-13,97.39,stable,false
SUP-0134,Vietnam Precision Supply 134,Vietnam Precision Supply 134,VN,Vietnam,Hai Phong,Electronics,2006,18479,906771576.78,526911,"[""SLC"", ""GLS""]","[""ISO 9001""]",73.71,89.83,84.55,66.74,59.76,75.45,18.9,2866,53,Net 90,multi-year,VND,Medium,40.57,Medium,Tier 1,active,false,2017-09-01,2024-03-05,84.55,stable,false
SUP-0135,Vietnam Industrial Materials 135,Vietnam Industrial Materials 135,VN,Vietnam,Hai Phong,Metals,1981,2206,28425539.0,717940,"[""COP"", ""NIC"", ""CTN""]","[""ResponsibleSteel"", ""IATF 16949"", ""ISO 14001"", ""ISO 45001""]",86.54,89.67,72.53,79.96,80.75,73.51,26.5,294,49,Net 45,framework,VND,Low,27.07,Low,Tier 2,inactive,false,2017-04-01,2024-12-15,72.53,stable,false
SUP-0136,Vietnam Global Components 136,Vietnam Global Components 136,VN,Vietnam,Hai Phong,Textiles,2009,1025,292255658.16,822323,"[""CTN"", ""CEM"", ""TIM"", ""NIC""]","[""IATF 16949"", ""ISO 9001"", ""ResponsibleSteel""]",74.18,80.91,83.48,64.37,75.78,77.53,27.4,3997,32,Net 45,multi-year,VND,Low,33.1,Low,Tier 2,active,false,2017-05-01,2024-10-23,83.48,stable,false
SUP-0137,Vietnam Integrated Works 137,Vietnam Integrated Works 137,VN,Vietnam,Hai Phong,Packaging,1976,1646,681844599.95,635886,"[""PAP"", ""STL"", ""CEM"", ""SLC""]","[""IATF 16949""]",94.8,90.88,83.47,85.66,55.94,61.14,17.2,4424,58,Net 45,spot,VND,Low,34.29,Low,Tier 2,active,false,2017-08-01,2024-08-12,83.47,stable,false
